Time [s],Packet ID,MOSI,MISO
3.565302640000000,0,0xC0E0,0x0000
3.565375860000000,1,0x80D7,0x0000
3.565449120000000,2,0xC2AB,0x0000
3.565522360000000,3,0xCA81,0x0000
3.565595620000000,4,0xE000,0x0000
3.565668860000000,5,0xC800,0x0000
3.565742120000000,6,0xC4F7,0x0000
3.565815360000000,7,0x0000,0x4000
3.565899740000000,8,0xA6C0,0x0000
3.565973100000000,9,0x948C,0x0000
3.566046360000000,10,0xC610,0x0000
3.566119700000000,11,0x9860,0x0000
3.566193120000000,12,0x82C8,0x0000
3.566266420000000,13,0xCA81,0x0000
3.566340400000000,14,0xCA83,0x0000
8.405224540000001,15,0xB000,0xFF1C
8.405305300000000,16,0xB000,0x0000
8.405767140000000,17,0xB000,0xFF07
8.405847919999999,18,0xB000,0x00C4
8.406309500000001,19,0xB000,0xFFCE
8.406390280000000,20,0xB000,0x0000
8.406852120000000,21,0xB000,0xFF00
8.406932899999999,22,0xB000,0x0004
8.407394480000001,23,0xB000,0xFF54
8.407475260000000,24,0xB000,0x0040
8.407937120000000,25,0xB000,0xFF00
8.408017900000001,26,0xB000,0x00C4
8.408479540000000,27,0xB000,0xFFD0
8.408560300000000,28,0xB000,0x0040
8.409022060000000,29,0xB000,0xFFE0
8.409102839999999,30,0xB000,0x0000
8.409564500000000,31,0xB000,0xFF00
8.409645279999999,32,0xB000,0x0000
8.410107060000000,33,0xB000,0xFF03
8.410188480000000,34,0xB000,0x0044
8.410649520000000,35,0xB000,0xFF99
8.410730300000001,36,0xB000,0x0040
8.411192079999999,37,0xB000,0xFFEE
8.411272860000000,38,0xB000,0x00C0
8.411734520000000,39,0xB000,0xFFC6
8.411815300000001,40,0xB000,0x0000
8.412277100000001,41,0xB000,0xFFB6
8.412357880000000,42,0xB000,0x0084
8.412819499999999,43,0xB000,0xFFC0
8.412900280000001,44,0xB000,0x00C0
8.413362080000001,45,0xB000,0xFF65
8.413442860000000,46,0xB000,0x00C0
8.413904520000001,47,0xB000,0xFF6C
8.413985300000000,48,0xB000,0x0044
8.414447120000000,49,0xB000,0xFF7B
8.414527900000000,50,0xB000,0x0000
8.414989520000001,51,0xB000,0xFFD8
8.415070300000000,52,0xB000,0x0040
8.415532100000000,53,0xB000,0xFFD8
8.415612879999999,54,0xB000,0x0084
8.416074460000001,55,0xB000,0xFF77
8.416155880000000,56,0xB000,0x0044
8.416617100000000,57,0xB000,0xFF0B
8.416697879999999,58,0xB000,0x0080
8.417159480000000,59,0xB000,0xFF02
8.417240260000000,60,0xB000,0x0084
8.417674900000000,61,0xB000,0xFFA3
8.418043760000000,62,0xB000,0xFF22
8.418430219999999,63,0xB000,0xFFC0
8.418511000000001,64,0xB000,0x00C0
8.418974179999999,65,0xB000,0xFF78
8.419054960000000,66,0xB000,0x00C0
8.419521800000000,67,0xB000,0xFF89
8.419926459999999,68,0xB000,0xFFAF
8.420007240000000,69,0xB000,0x0080
8.420448520000001,70,0xB000,0xFFB6
8.420832880000001,71,0xB000,0xFF84
8.420906020000000,72,0x8208,0x0000
8.423435260000000,73,0x82C8,0x0000
8.423508540000000,74,0xCA81,0x0000
8.423581779999999,,0xCA83,0x0000
