Time [s],Packet ID,MOSI,MISO
0.168275480000000,0,0xC0E0,0x0000
0.168333340000000,,0x80D7,0x0000
0.168391180000000,,0xC2AB,0x0000
0.168449040000000,,0xCA81,0x0000
0.168506900000000,,0xE000,0x0000
0.168564760000000,,0xC800,0x0000
0.168622600000000,,0xC4F7,0x0000
0.168680460000000,,0x0000,0x4000
0.168740700000000,,0xA6C0,0x0000
0.168799920000000,,0x948C,0x0000
0.168858040000000,,0xC610,0x0000
0.168916660000000,,0x9860,0x0000
0.168975480000000,,0x82C8,0x0000
0.169033340000000,,0xCA81,0x0000
0.169091200000000,,0xCA83,0x0000
0.169195560000000,,0xB000,0x0000
9.265346220000000,,0xB000,0xFF1C
9.265740780000000,,0xB000,0xFF00
9.265800000000000,,0x8208,0x0000
9.266544659999999,,0x82C8,0x0000
9.266602199999999,,0xCA81,0x0000
9.266659720000000,,0xCA83,0x0000
9.406636880000001,,0x0000,0x0200
9.419599979999999,,0x0000,0x0200
9.419658439999999,,0x8208,0x0000
9.419716240000000,,0x0000,0x0080
9.419782400000001,,0x8208,0x0000
9.419840199999999,,0x0000,0x0080
9.419928499999999,,0x8238,0x0000
9.420617000000000,,0xB8AA,0xFFFF
9.421017259999999,,0xB8AA,0xFFFF
9.421406220000000,,0xB8AA,0xFFFF
9.421800680000000,,0xB82D,0xFFFF
9.422195560000000,,0xB8D4,0xFFFF
9.422589800000001,,0xB81C,0xFFFF
9.422984359999999,,0xB800,0xFFFF
9.423378919999999,,0xB8FF,0xFFFF
9.423773479999999,,0xB838,0xFFFF
9.424182640000000,,0xB800,0xFFFF
9.424562540000000,,0xB815,0xFFFF
9.424957100000000,,0xB844,0xFFFF
9.425351600000001,,0xB801,0xFFFF
9.425746159999999,,0xB8F4,0xFFFF
9.426147080000000,,0xB817,0xFFFF
9.426535280000000,,0xB800,0xFFFF
9.426929960000001,,0xB800,0xFFFF
9.427324340000000,,0xB800,0xFFFF
9.427718900000000,,0xB86E,0xFFFF
9.428119880000001,,0xB865,0xFFFF
9.428508020000001,,0xB877,0xFFFF
9.428902539999999,,0xB86C,0xFFFF
9.429297099999999,,0xB861,0xFFFF
9.429691699999999,,0xB86D,0xFFFF
9.430092340000000,,0xB870,0xFFFF
9.430480820000000,,0xB831,0xFFFF
9.430875340000000,,0xB82E,0xFFFF
9.431269840000001,,0xB86C,0xFFFF
9.431664400000001,,0xB86F,0xFFFF
9.432065359999999,,0xB863,0xFFFF
9.432453580000001,,0xB861,0xFFFF
9.432848180000001,,0xB86C,0xFFFF
